,Ligand,Ar_X,Solvent,Base,Boronate,Yield,Product,rxn_SMILES
10,CC1(c2cccc(c2Oc3c1cccc3P(c4ccccc4)c5ccccc5)P(c6ccccc6)c7ccccc7)C,ClC1=CC=C2N=CC=CC2=C1,CC#N,[OH-].[Na+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,2.109999895095825,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.[OH-].[Na+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.CC1(c2cccc(c2Oc3c1cccc3P(c4ccccc4)c5ccccc5)P(c6ccccc6)c7ccccc7)C.[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
11,Cc1ccccc1,ClC1=CC=C2N=CC=CC2=C1,CC#N,[OH-].[Na+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,17.09000015258789,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.[OH-].[Na+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.Cc1ccccc1.[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
12,CC(C)(C)P(C(C)(C)C)C(C)(C)C,ClC1=CC=C2N=CC=CC2=C1,CC#N,C(=O)(O)[O-].[Na+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,3.1600000858306885,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.C(=O)(O)[O-].[Na+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.CC(C)(C)P(C(C)(C)C)C(C)(C)C.[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
13,c1ccc(cc1)P(c2ccccc2)c3ccccc3,ClC1=CC=C2N=CC=CC2=C1,CC#N,C(=O)(O)[O-].[Na+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,4.75,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.C(=O)(O)[O-].[Na+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.c1ccc(cc1)P(c2ccccc2)c3ccccc3.[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
14,CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C.CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C.Cl[Pd]Cl,ClC1=CC=C2N=CC=CC2=C1,CC#N,C(=O)(O)[O-].[Na+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,2.4600000381469727,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.C(=O)(O)[O-].[Na+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C.CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C.Cl[Pd]Cl.[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
15,C1CCC(CC1)P(C2CCCCC2)C3CCCCC3,ClC1=CC=C2N=CC=CC2=C1,CC#N,C(=O)(O)[O-].[Na+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,5.269999980926514,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.C(=O)(O)[O-].[Na+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.C1CCC(CC1)P(C2CCCCC2)C3CCCCC3.[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
16,Cc1ccccc1P(c2ccccc2C)c3ccccc3C,ClC1=CC=C2N=CC=CC2=C1,CC#N,C(=O)(O)[O-].[Na+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,1.9600000381469727,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.C(=O)(O)[O-].[Na+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.Cc1ccccc1P(c2ccccc2C)c3ccccc3C.[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
17,CCCCP([C@@]12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3)[C@@]45C[C@H]6C[C@@H](C4)C[C@@H](C5)C6,ClC1=CC=C2N=CC=CC2=C1,CC#N,C(=O)(O)[O-].[Na+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,3.3499999046325684,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.C(=O)(O)[O-].[Na+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.CCCCP([C@@]12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3)[C@@]45C[C@H]6C[C@@H](C4)C[C@@H](C5)C6.[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
18,COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC,ClC1=CC=C2N=CC=CC2=C1,CC#N,C(=O)(O)[O-].[Na+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,69.22000122070312,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.C(=O)(O)[O-].[Na+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC.[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
19,CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.[Fe],ClC1=CC=C2N=CC=CC2=C1,CC#N,C(=O)(O)[O-].[Na+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,5.099999904632568,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.C(=O)(O)[O-].[Na+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.[Fe].[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
20,CC(C)c1cc(c(c(c1)C(C)C)c2ccccc2P(C3CCCCC3)C4CCCCC4)C(C)C,ClC1=CC=C2N=CC=CC2=C1,CC#N,C(=O)(O)[O-].[Na+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,83.19000244140625,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.C(=O)(O)[O-].[Na+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.CC(C)c1cc(c(c(c1)C(C)C)c2ccccc2P(C3CCCCC3)C4CCCCC4)C(C)C.[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
21,c1ccc(cc1)P([c-]2cccc2)c3ccccc3.c1ccc(cc1)P([c-]2cccc2)c3ccccc3.[Fe+2],ClC1=CC=C2N=CC=CC2=C1,CC#N,C(=O)(O)[O-].[Na+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,13.680000305175781,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.C(=O)(O)[O-].[Na+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.c1ccc(cc1)P([c-]2cccc2)c3ccccc3.c1ccc(cc1)P([c-]2cccc2)c3ccccc3.[Fe+2].[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
22,CC1(c2cccc(c2Oc3c1cccc3P(c4ccccc4)c5ccccc5)P(c6ccccc6)c7ccccc7)C,ClC1=CC=C2N=CC=CC2=C1,CC#N,C(=O)(O)[O-].[Na+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,1.8200000524520874,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.C(=O)(O)[O-].[Na+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.CC1(c2cccc(c2Oc3c1cccc3P(c4ccccc4)c5ccccc5)P(c6ccccc6)c7ccccc7)C.[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
23,Cc1ccccc1,ClC1=CC=C2N=CC=CC2=C1,CC#N,C(=O)(O)[O-].[Na+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,10.989999771118164,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.C(=O)(O)[O-].[Na+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.Cc1ccccc1.[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
24,CC(C)(C)P(C(C)(C)C)C(C)(C)C,ClC1=CC=C2N=CC=CC2=C1,CC#N,[F-].[Cs+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,1.7899999618530273,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.[F-].[Cs+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.CC(C)(C)P(C(C)(C)C)C(C)(C)C.[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
25,c1ccc(cc1)P(c2ccccc2)c3ccccc3,ClC1=CC=C2N=CC=CC2=C1,CC#N,[F-].[Cs+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,4.360000133514404,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.[F-].[Cs+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.c1ccc(cc1)P(c2ccccc2)c3ccccc3.[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
26,CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C.CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C.Cl[Pd]Cl,ClC1=CC=C2N=CC=CC2=C1,CC#N,[F-].[Cs+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,2.7100000381469727,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.[F-].[Cs+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C.CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C.Cl[Pd]Cl.[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
27,C1CCC(CC1)P(C2CCCCC2)C3CCCCC3,ClC1=CC=C2N=CC=CC2=C1,CC#N,[F-].[Cs+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,6.489999771118164,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.[F-].[Cs+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.C1CCC(CC1)P(C2CCCCC2)C3CCCCC3.[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
28,Cc1ccccc1P(c2ccccc2C)c3ccccc3C,ClC1=CC=C2N=CC=CC2=C1,CC#N,[F-].[Cs+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,2.0999999046325684,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.[F-].[Cs+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.Cc1ccccc1P(c2ccccc2C)c3ccccc3C.[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
29,CCCCP([C@@]12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3)[C@@]45C[C@H]6C[C@@H](C4)C[C@@H](C5)C6,ClC1=CC=C2N=CC=CC2=C1,CC#N,[F-].[Cs+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,3.319999933242798,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.[F-].[Cs+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.CCCCP([C@@]12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3)[C@@]45C[C@H]6C[C@@H](C4)C[C@@H](C5)C6.[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
30,COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC,ClC1=CC=C2N=CC=CC2=C1,CC#N,[F-].[Cs+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,68.44000244140625,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.[F-].[Cs+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC.[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
31,CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.[Fe],ClC1=CC=C2N=CC=CC2=C1,CC#N,[F-].[Cs+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,5.840000152587891,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.[F-].[Cs+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.[Fe].[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
32,CC(C)c1cc(c(c(c1)C(C)C)c2ccccc2P(C3CCCCC3)C4CCCCC4)C(C)C,ClC1=CC=C2N=CC=CC2=C1,CC#N,[F-].[Cs+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,73.0199966430664,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.[F-].[Cs+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.CC(C)c1cc(c(c(c1)C(C)C)c2ccccc2P(C3CCCCC3)C4CCCCC4)C(C)C.[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
33,c1ccc(cc1)P([c-]2cccc2)c3ccccc3.c1ccc(cc1)P([c-]2cccc2)c3ccccc3.[Fe+2],ClC1=CC=C2N=CC=CC2=C1,CC#N,[F-].[Cs+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,13.199999809265137,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.[F-].[Cs+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.c1ccc(cc1)P([c-]2cccc2)c3ccccc3.c1ccc(cc1)P([c-]2cccc2)c3ccccc3.[Fe+2].[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
34,CC1(c2cccc(c2Oc3c1cccc3P(c4ccccc4)c5ccccc5)P(c6ccccc6)c7ccccc7)C,ClC1=CC=C2N=CC=CC2=C1,CC#N,[F-].[Cs+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,2.0999999046325684,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.[F-].[Cs+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.CC1(c2cccc(c2Oc3c1cccc3P(c4ccccc4)c5ccccc5)P(c6ccccc6)c7ccccc7)C.[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
35,Cc1ccccc1,ClC1=CC=C2N=CC=CC2=C1,CC#N,[F-].[Cs+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,10.220000267028809,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.[F-].[Cs+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.Cc1ccccc1.[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
36,CC(C)(C)P(C(C)(C)C)C(C)(C)C,ClC1=CC=C2N=CC=CC2=C1,CC#N,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,3.0,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.[O-]P(=O)([O-])[O-].[K+].[K+].[K+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.CC(C)(C)P(C(C)(C)C)C(C)(C)C.[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
37,c1ccc(cc1)P(c2ccccc2)c3ccccc3,ClC1=CC=C2N=CC=CC2=C1,CC#N,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,4.730000019073486,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.[O-]P(=O)([O-])[O-].[K+].[K+].[K+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.c1ccc(cc1)P(c2ccccc2)c3ccccc3.[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
